n,mu,min_pn,min_g6,max_pn,max_g6
3,0,6,BW,6,BW
3,1,9,Bw,9,Bw
4,0,10,CF,10,CF
4,1,15,CV,16,C]
4,2,23,C^,23,C^
4,3,34,C~,34,C~
5,0,15,D?{,15,D?{
5,1,22,DC{,25,DUW
5,2,33,DQ{,38,DFw
5,3,51,DF{,57,D]w
5,4,78,DV{,83,D]{
5,5,116,D^{,116,D^{
5,6,165,D~{,165,D~{
6,0,21,E?Bw,21,E?Bw
6,1,30,E?bw,36,EEh_
6,2,43,ECRw,56,ECxo
6,3,67,ECZw,88,EEz_
6,4,99,E?~w,141,EFz_
6,5,154,EC~w,196,EFzo
6,6,231,ETnw,279,E]yw
6,7,345,EF~w,402,E]~o
6,8,508,EV~w,535,E]~w
6,9,720,E^~w,720,E^~w
6,10,981,E~~w,981,E~~w
7,0,28,F??Fw,28,F??Fw
7,1,39,F?AFw,49,FCp`_
7,2,54,F?`Fw,78,FCR`o
7,3,73,FCOfw,125,FCpv?
7,4,123,F?`vw,204,FCxv?
7,5,173,F?B~w,306,FCxv_
7,6,268,F?b~w,445,F?~v_
7,7,418,F?r~w,650,FFzf_
7,8,623,F?z~w,939,FFzvO
7,9,883,F?~~w,1267,FFzvo
7,10,1308,FTm~w,1712,FU~vo
7,11,1895,FTn~w,2342,F]~vo
7,12,2743,FF~~w,3112,F]~vw
7,13,3852,FV~~w,4015,F]~~w
7,14,5222,F^~~w,5222,F^~~w
7,15,6853,F~~~w,6853,F~~~w
8,0,36,G???F{,36,G???F{
8,1,49,G??CF{,64,G?qa`_
8,2,66,G?AAF{,104,GCOf?w
8,3,87,G?`@F{,170,G?q`qg
8,4,127,G?`@f{,281,GCR`r_
8,5,186,GCOcf{,460,GCrb`o
8,6,279,G??F~{,667,G?o~f_
8,7,426,G?AF~{,986,G?zVf_
8,8,653,G?`F~{,1478,G?zvf_
8,9,1005,G?Bf~{,2232,G?~vf_
8,10,1437,G?Bv~{,2965,G?~vfo
8,11,1964,G?B~~{,4022,GC~vfo
8,12,3039,G?b~~{,5436,GFzfuw
8,13,4571,G?r~~{,7468,GFzvvW
8,14,6560,G?z~~{,9677,GFzf~w
8,15,8811,GTm|~{,12558,GFz~vw
8,16,12399,GTm~~{,16475,G]~vv[
8,17,17618,GTn~~{,21680,G]~v~w
8,18,24468,GF~~~{,27099,G]~v~{
8,19,32949,GV~~~{,34058,G]~~~{
8,20,43061,G^~~~{,43061,G^~~~{
8,21,54804,G~~~~{,54804,G~~~~{
9,0,45,H????B~,45,H????B~
9,1,60,H???CB~,81,H?bB@_W
9,2,79,H??CAB~,133,H?`@f?[
9,3,102,H?AA@B~,221,H?BDbO[
9,4,129,H?`@?b~,372,HCOf@pS
9,5,206,H?AB?r~,615,HCQf@pS
9,6,295,H?`CPb~,969,H?q`qjo
9,7,420,HCOcaR~,1434,HCRbdO{
9,8,634,H??CF~~,2135,H?o~Fbo
9,9,949,H?AAF~~,3246,H?o~fbo
9,10,1416,H?`@F~~,4757,H?zVf_{
9,11,2149,H??Ff~~,6517,H?rvdrw
9,12,2948,H??Fv~~,8960,H?zvfb[
9,13,3894,H??F~~~,12474,H?~vfbk
9,14,6055,H?AF~~~,17221,H?~vfrs
9,15,9291,H?BF~~~,22951,H?~vfru
9,16,13602,H?Bf~~~,29685,H?~vvj{
9,17,18988,H?Bv~~~,38800,HC~vvj{
9,18,25449,H?B~~~~,50877,HFzfvz]
9,19,37974,H?b~~~~,67563,HFzf~z{
9,20,53500,HEv]}~~,84466,HFzf~z}
9,21,68505,HTm||~~,106281,HFzv~z}
9,22,93948,HTm|~~~,134712,H]y~~z}
9,23,131134,HTm~~~~,171019,H]~v~z}
9,24,180063,HTn~~~~,213573,H]~v~z~
9,25,240735,HF~~~~~,261546,H]~v~~~
9,26,313150,HV~~~~~,321631,H]~~~~~
9,27,397308,H^~~~~~,397308,H^~~~~~
9,28,493209,H~~~~~~,493209,H~~~~~~
